LOTE,DISPONIBILIDAD,Total Terreno,NORTE,SUR,ESTE,OESTE,Total Construccion,Lista 1,Lista 2,Lista 3,Lista 4,Lista 5 ,Lista 6,Lista 7 ,Lista 8 ,Lista 9,Lista 10 
11,,236.63,23 m con Lote 10,23 m con Pasillo,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
12,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 13,23 m con Pasillo,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
13,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 14,23 m con Lote 12,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
14,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 15,23 m con Lote 13,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
15,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 16,23 m con Lote 14,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
16,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 17,23 m con Lote 15,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
17,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,23 m con Lote 18,23 m con Lote 16,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
18,Vendido,236.63,7 m con Calle Puerto Marquez,7 m con Área Común,21 m con Lote 19 y 2 m con Pasillo,23 m con Lote 17,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
19,Vendido,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m con Lote 20,21 m con Lote 18,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
20,Vendido,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m con Lote 21,21 m con Lote 19,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
